Squad,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,Position,Footed,Height,Weight,Wages
Manchester,Raphael Varane,FRA,DF,30.0,19.0,14.0,1263.0,14.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.3,1.3,0.1,1.3,DF-MF,Both,194.0,83.0,"￡ 340,000"
Manchester,Kobbie Mainoo,ENG,MF,18.0,14.0,14.0,1106.0,12.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.2,0.2,0.4,0.6,unknown,unknown,182.1,73.7,0
Manchester,Victor Lindelof,SWE,DF,29.0,18.0,13.0,1260.0,14.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,0.3,1.1,DF,Right,187.0,82.0,"￡ 120,000"
Manchester,Harry Maguire,ENG,DF,31.0,16.0,13.0,1158.0,12.9,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.7,1.7,1.2,3.0,DF,Right,188.0,78.0,"￡ 190,000"
Manchester,Jonny Evans,NIR,DF,36.0,18.0,12.0,1086.0,12.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,1.2,1.2,DF,Right,188.0,77.0,"￡ 65,000"
Manchester,Luke Shaw,ENG,DF,28.0,12.0,12.0,959.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,DF-MF,Left,185.0,74.0,"￡ 150,000"
Manchester,Antony,BRA,FW,24.0,22.0,11.0,953.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.5,1.5,2.1,3.6,FW-MF,Left,172.0,64.0,"￡ 200,000"
Manchester,Aaron Wan-bissaka,ENG,DF,26.0,12.0,10.0,884.0,9.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,1.2,1.3,DF,Right,182.0,72.0,"￡ 90,000"
Manchester,Christian Eriksen,DEN,MF,32.0,16.0,9.0,887.0,9.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,1.8,2.5,FW-MF,Right,177.0,67.0,"￡ 150,000"
Manchester,Sofyan Amrabat,MAR,"MF,DF",27.0,14.0,7.0,640.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.2,0.2,MF,Right,173.0,69.0,"￡ 65,000"
Manchester,Lisandro Martinez,ARG,DF,26.0,8.0,7.0,558.0,6.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,DF-MF,Left,178.0,77.0,"￡ 120,000"
Manchester,Anthony Martial,FRA,FW,28.0,13.0,5.0,448.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2,1.2,0.2,1.5,FW-MF,Right,184.0,76.0,"￡ 250,000"
Manchester,Sergio Reguilon,ESP,DF,27.0,9.0,4.0,412.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.7,0.9,DF-MF,Left,176.0,63.0,￡ 
Manchester,Mason Mount,ENG,MF,25.0,8.0,4.0,400.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,MF,Right,175.0,63.0,"￡ 250,000"
Manchester,Facundo Pellistri,URU,"FW,MF",22.0,9.0,1.0,172.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,0.8,MF,Right,174.0,68.0,"€ 23,077"
Manchester,Hannibal Mejbri,TUN,"MF,FW",21.0,5.0,1.0,133.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.4,MF,Right,154.0,69.0,"£ 12,000"
Manchester,Willy Kambwala,FRA,DF,19.0,4.0,1.0,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,unknown,182.1,73.7,0
Manchester,Omari Forson,ENG,FW,19.0,3.0,1.0,66.0,0.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,unknown,unknown,182.1,73.7,0
Manchester,Jadon Sancho,ENG,"FW,MF",23.0,3.0,0.0,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,FW-MF,Right,180.0,73.0,"€ 67,308"
Manchester,Amad Diallo,CIV,FW,21.0,2.0,0.0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,FW-MF,Left,173.0,66.0,"￡ 28,846"
Manchester,Donny Van De Beek,NED,DF,26.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,MF,Right,181.0,76.0,"€ 34,615"
Manchester,Daniel Gore,ENG,MF,19.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,unknown,182.1,73.7,0
Manchester,Altay Bayindir,TUR,GK,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Right,198.0,88.0,"￡ 35,000"
Manchester,Rhys Bennett,ENG,DF,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,unknown,182.1,73.7,0
Manchester,Alvaro Carreras,ESP,"DF,MF",20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF-MF,Left,186.0,69.0,0
Manchester,Toby Collier,ENG,MF,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,unknown,182.1,73.7,0
Manchester,Tom Heaton,ENG,GK,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Right,187.0,84.0,"￡ 45,000"
Manchester,Dean Henderson,ENG,GK,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GK,Right,188.0,73.0,"￡ 100,000"
Manchester,Joe Hugill,ENG,FW,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,unknown,182.1,73.7,0
